表題：,都道府県・市区町村のすがた（社会・人口統計体系）
公開日：,2025年10月31日

***,***,***,***,/項目 コード,A1101,C1224,D310412
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,C1224_企業所得（平成27年基準）【百万円】,D310412_貸付金（都道府県財政）【千円】,貸出金【億円】
2018100000,2018年度,26000,京都府,***,"2,598,000","2,323,029","69,250,968",731870
2018100000,2018年度,27000,大阪府,***,"8,838,000","5,080,002","252,339,834",4613359
2018100000,2018年度,28000,兵庫県,***,"5,501,000","4,258,664","191,469,699",1265906
2018100000,2018年度,29000,奈良県,***,"1,341,000","904,891","8,018,304",314248
2018100000,2018年度,30000,和歌山県,***,"940,000","1,077,856","50,360,514",198075
2018100000,2018年度,31000,鳥取県,***,"562,000","355,781","2,704,565",167502
2018100000,2018年度,32000,島根県,***,"682,000","542,483","30,112,186",153472
2018100000,2018年度,33000,岡山県,***,"1,904,000","1,146,769","47,585,521",625695
2018100000,2018年度,34000,広島県,***,"2,824,000","2,111,094","39,533,627",1157621
2018100000,2018年度,35000,山口県,***,"1,369,000","1,513,342","37,056,063",425157
2018100000,2018年度,36000,徳島県,***,"736,000","838,636","70,190,783",236877
2018100000,2018年度,37000,香川県,***,"963,000","665,113","39,922,858",327768
2018100000,2018年度,38000,愛媛県,***,"1,357,000","984,620","61,872,251",698517
2018100000,2018年度,39000,高知県,***,"707,000","562,929","2,048,080",183466
2018100000,2018年度,40000,福岡県,***,"5,131,000","2,892,037","109,320,811",2255977
2018100000,2018年度,41000,佐賀県,***,"821,000","702,501","23,236,090",158346
2018100000,2018年度,42000,長崎県,***,"1,341,000","763,659","22,204,186",335734
2018100000,2018年度,43000,熊本県,***,"1,759,000","1,362,621","46,583,632",489698
2018100000,2018年度,44000,大分県,***,"1,143,000","856,211","31,336,701",287441
2018100000,2018年度,45000,宮崎県,***,"1,084,000","737,852","31,479,489",305811
2018100000,2018年度,46000,鹿児島県,***,"1,614,000","1,346,969","3,382,423",440604
2018100000,2018年度,47000,沖縄県,***,"1,454,000","711,586","17,106,809",453813
2017100000,2017年度,1000,北海道,***,"5,325,000","4,107,515","171,308,464",1207357
2017100000,2017年度,2000,青森県,***,"1,282,000","1,043,591","35,505,752",314296
2017100000,2017年度,3000,岩手県,***,"1,254,000","1,066,828","127,816,876",275546
2017100000,2017年度,4000,宮城県,***,"2,326,000","2,024,826","78,909,028",773058
2017100000,2017年度,5000,秋田県,***,"999,000","851,259","62,612,162",245014
2017100000,2017年度,6000,山形県,***,"1,103,000","931,175","55,830,611",291159
2017100000,2017年度,7000,福島県,***,"1,886,000","1,568,679","86,549,843",416536
2017100000,2017年度,8000,茨城県,***,"2,902,000","3,130,804","59,007,235",683559
2017100000,2017年度,9000,栃木県,***,"1,962,000","2,272,985","74,706,685",566480
2017100000,2017年度,10000,群馬県,***,"1,963,000","2,285,844","41,007,320",484231
